feedback_id,customer_id,feedback_text,sentiment,source,date,timestamp,cleaned_text,processed_text
F37,CUST6067,Frequent crashes and bugs. Needs improvement. =,Negative,social_media,2025-01-21,2025-01-21 13:00:35,frequent crashes and bugs needs improvement,frequent crash bug need improvement
F38,CUST5292,I absolutely love this product! It's amazing and works perfectly. Issue with technical issues.,Positive,chat,2025-01-12,2025-01-12 13:00:35,i absolutely love this product its amazing and works perfectly issue with technical issues,absolutely love product amazing work perfectly issue technical issue
F40,CUST4957,Late delivery and damaged packaging. Very upset! ];! Issue with product availability.,Negative,email,2025-07-27,2025-07-27 13:00:35,late delivery and damaged packaging very upset issue with product availability,late delivery damaged packaging upset issue product availability
F41,CUST8452,Acceptable product for the price point.,Neutral,review_site,2025-04-24,2025-04-24 13:00:35,acceptable product for the price point,acceptable product price point
F42,CUST5953,Excellent service and fast delivery. Highly recommended! Issue with product quality.,Positive,chat,2025-04-30,2025-04-30 13:00:35,excellent service and fast delivery highly recommended issue with product quality,excellent service fast delivery highly recommended issue product quality
F43,CUST2775,Decent product with room for improvement.,Neutral,social_media,2025-01-25,2025-01-25 13:00:35,decent product with room for improvement,decent product room improvement
F44,CUST4960,Impressive features and functionality. Love it!,Positive,email,2025-04-04,2025-04-04 13:00:35,impressive features and functionality love it,impressive feature functionality love
F45,CUST5401,"Frequent crashes and bugs. Needs improvement. _\?""",Negative,social_media,2025-09-13,2025-09-13 13:00:35,frequent crashes and bugs needs improvement,frequent crash bug need improvement
F46,CUST8719,Outstanding customer support. They resolved my issue quickly.,Positive,review_site,2025-07-20,2025-07-20 13:00:35,outstanding customer support they resolved my issue quickly,outstanding customer support resolved issue quickly
F47,CUST9637,Waste of money. Product doesn't work as advertised.,Negative,email,2024-11-04,2024-11-04 13:00:35,waste of money product doesnt work as advertised,waste money product doesnt work advertised
F48,CUST2874,This is exactly what I was looking for. Great quality! Issue with pricing.,Positive,review_site,2025-05-14,2025-05-14 13:00:35,this is exactly what i was looking for great quality issue with pricing,exactly looking great quality issue pricing
F50,CUST5507,Frequent crashes and bugs. Needs improvement. Issue with delivery delays.,Negative,email,2025-01-30,2025-01-30 13:00:35,frequent crashes and bugs needs improvement issue with delivery delays,frequent crash bug need improvement issue delivery delay
F52,CUST8065,It's alright. Nothing remarkable to mention. .^;/<,Neutral,email,2025-06-08,2025-06-08 13:00:35,its alright nothing remarkable to mention,alright nothing remarkable mention
F53,CUST6082,Product is okay. Nothing special but does the job.,Neutral,email,2025-03-18,2025-03-18 13:00:35,product is okay nothing special but does the job,product okay nothing special job
F54,CUST8527,Waste of money. Product doesn't work as advertised. Issue with delivery delays.,Negative,chat,2025-05-14,2025-05-14 13:00:35,waste of money product doesnt work as advertised issue with delivery delays,waste money product doesnt work advertised issue delivery delay
F55,CUST4236,Frequent crashes and bugs. Needs improvement.,Negative,review_site,2025-09-27,2025-09-27 13:00:35,frequent crashes and bugs needs improvement,frequent crash bug need improvement
F56,CUST7939,Difficult to use and confusing interface.,Negative,review_site,2025-01-22,2025-01-22 13:00:35,difficult to use and confusing interface,difficult use confusing interface
F57,CUST8865,Functional but could be better. %$}$+ Issue with delivery delays.,Neutral,social_media,2025-03-27,2025-03-27 13:00:35,functional but could be better issue with delivery delays,functional could better issue delivery delay
F58,CUST6064,"Terrible experience. Product broke after one day. ^"";=#",Negative,chat,2025-02-14,2025-02-14 13:00:35,terrible experience product broke after one day,terrible experience product broke one day
F59,CUST4912,I absolutely love this product! It's amazing and works perfectly. ; Issue with product availability.,Positive,review_site,2025-01-04,2025-01-04 13:00:35,i absolutely love this product its amazing and works perfectly issue with product availability,absolutely love product amazing work perfectly issue product availability
F61,CUST5396,Product stopped working within a week. Poor quality.,Negative,chat,2025-01-09,2025-01-09 13:00:35,product stopped working within a week poor quality,product stopped working within week poor quality
F62,CUST7787,Mediocre experience overall.,Neutral,review_site,2025-09-14,2025-09-14 13:00:35,mediocre experience overall,mediocre experience overall
F63,CUST6707,Difficult to use and confusing interface. Issue with technical issues.,Negative,social_media,2025-10-17,2025-10-17 13:00:35,difficult to use and confusing interface issue with technical issues,difficult use confusing interface issue technical issue
F66,CUST8684,The product exceeded my expectations. Very satisfied! Issue with product features.,Positive,chat,2025-06-05,2025-06-05 13:00:35,the product exceeded my expectations very satisfied issue with product features,product exceeded expectation satisfied issue product feature
F69,CUST8829,I absolutely love this product! It's amazing and works perfectly.,Positive,chat,2024-12-02,2024-12-02 13:00:35,i absolutely love this product its amazing and works perfectly,absolutely love product amazing work perfectly
F74,CUST1948,The product exceeded my expectations. Very satisfied!,Positive,social_media,2025-03-21,2025-03-21 13:00:35,the product exceeded my expectations very satisfied,product exceeded expectation satisfied
F75,CUST9906,Frequent crashes and bugs. Needs improvement. Issue with website navigation.,Negative,chat,2025-10-10,2025-10-10 13:00:35,frequent crashes and bugs needs improvement issue with website navigation,frequent crash bug need improvement issue website navigation
F76,CUST5315,Standard quality. Meets basic expectations.,Neutral,social_media,2024-11-02,2024-11-02 13:00:35,standard quality meets basic expectations,standard quality meet basic expectation
F77,CUST1586,Terrible experience. Product broke after one day. ',Negative,social_media,2025-03-20,2025-03-20 13:00:35,terrible experience product broke after one day,terrible experience product broke one day
F78,CUST6548,The product exceeded my expectations. Very satisfied! .)%,Positive,social_media,2024-12-31,2024-12-31 13:00:35,the product exceeded my expectations very satisfied,product exceeded expectation satisfied
F80,CUST6111,Average experience. Some good points and some bad. Issue with website navigation.,Neutral,social_media,2025-04-14,2025-04-14 13:00:35,average experience some good points and some bad issue with website navigation,average experience good point bad issue website navigation
F82,CUST7390,Product is okay. Nothing special but does the job. Issue with return process.,Neutral,review_site,2025-06-22,2025-06-22 13:00:35,product is okay nothing special but does the job issue with return process,product okay nothing special job issue return process
F83,CUST9989,Functional but could be better. Issue with technical issues.,Neutral,chat,2025-04-04,2025-04-04 13:00:35,functional but could be better issue with technical issues,functional could better issue technical issue
F85,CUST6533,"It's fine, not great but not terrible either. Issue with pricing.",Neutral,review_site,2025-03-18,2025-03-18 13:00:35,its fine not great but not terrible either issue with pricing,fine great terrible either issue pricing
F86,CUST2683,Acceptable product for the price point. Issue with pricing.,Neutral,review_site,2024-12-04,2024-12-04 13:00:35,acceptable product for the price point issue with pricing,acceptable product price point issue pricing
F87,CUST2036,Waste of money. Product doesn't work as advertised. ).?]~ Issue with customer service.,Negative,review_site,2025-08-10,2025-08-10 13:00:35,waste of money product doesnt work as advertised issue with customer service,waste money product doesnt work advertised issue customer service
F88,CUST7226,The product exceeded my expectations. Very satisfied! Issue with technical issues.,Positive,review_site,2025-09-01,2025-09-01 13:00:35,the product exceeded my expectations very satisfied issue with technical issues,product exceeded expectation satisfied issue technical issue
F89,CUST3121,I absolutely love this product! It's amazing and works perfectly. Issue with product availability.,Positive,email,2025-05-01,2025-05-01 13:00:35,i absolutely love this product its amazing and works perfectly issue with product availability,absolutely love product amazing work perfectly issue product availability
F91,CUST4513,I absolutely love this product! It's amazing and works perfectly. Issue with return process.,Positive,chat,2025-08-29,2025-08-29 13:00:35,i absolutely love this product its amazing and works perfectly issue with return process,absolutely love product amazing work perfectly issue return process
F92,CUST2070,Late delivery and damaged packaging. Very upset! %;,Negative,review_site,2025-04-22,2025-04-22 13:00:35,late delivery and damaged packaging very upset,late delivery damaged packaging upset
F94,CUST9353,Excellent service and fast delivery. Highly recommended! $,Positive,email,2025-07-17,2025-07-17 13:00:35,excellent service and fast delivery highly recommended,excellent service fast delivery highly recommended
F95,CUST9400,Product is okay. Nothing special but does the job. @.< Issue with customer service.,Neutral,email,2025-01-04,2025-01-04 13:00:35,product is okay nothing special but does the job issue with customer service,product okay nothing special job issue customer service
F96,CUST3080,Late delivery and damaged packaging. Very upset!,Negative,review_site,2025-05-30,2025-05-30 13:00:35,late delivery and damaged packaging very upset,late delivery damaged packaging upset
F97,CUST7184,This is exactly what I was looking for. Great quality! _/=[,Positive,email,2025-04-19,2025-04-19 13:00:35,this is exactly what i was looking for great quality,exactly looking great quality
F101,CUST9957,Impressive features and functionality. Love it! /?,Positive,chat,2025-03-12,2025-03-12 13:00:35,impressive features and functionality love it,impressive feature functionality love
F103,CUST5374,Frequent crashes and bugs. Needs improvement. ;}>,Negative,review_site,2025-02-13,2025-02-13 13:00:35,frequent crashes and bugs needs improvement,frequent crash bug need improvement
F104,CUST5639,Extremely disappointed with the quality. Not recommended. Issue with product quality.,Negative,email,2025-04-08,2025-04-08 13:00:35,extremely disappointed with the quality not recommended issue with product quality,extremely disappointed quality recommended issue product quality
F107,CUST5685,Frequent crashes and bugs. Needs improvement. *,Negative,social_media,2025-08-28,2025-08-28 13:00:35,frequent crashes and bugs needs improvement,frequent crash bug need improvement
F108,CUST1838,Fantastic experience overall. Will definitely buy again! Issue with customer service.,Positive,review_site,2025-02-21,2025-02-21 13:00:35,fantastic experience overall will definitely buy again issue with customer service,fantastic experience overall definitely buy issue customer service
F109,CUST8512,Satisfactory service. Nothing to complain about. Issue with customer service.,Neutral,review_site,2025-05-15,2025-05-15 13:00:35,satisfactory service nothing to complain about issue with customer service,satisfactory service nothing complain issue customer service
F110,CUST2811,Product stopped working within a week. Poor quality. @'<*\ Issue with product availability.,Negative,social_media,2025-09-07,2025-09-07 13:00:35,product stopped working within a week poor quality issue with product availability,product stopped working within week poor quality issue product availability
F111,CUST8723,Impressive features and functionality. Love it! _*{},Positive,social_media,2025-01-16,2025-01-16 13:00:35,impressive features and functionality love it,impressive feature functionality love
F112,CUST2632,"Fantastic experience overall. Will definitely buy again! `"" Issue with delivery delays.",Positive,chat,2024-12-02,2024-12-02 13:00:35,fantastic experience overall will definitely buy again issue with delivery delays,fantastic experience overall definitely buy issue delivery delay
F113,CUST4282,The product exceeded my expectations. Very satisfied! Issue with product availability.,Positive,chat,2025-06-10,2025-06-10 13:00:35,the product exceeded my expectations very satisfied issue with product availability,product exceeded expectation satisfied issue product availability
F115,CUST8788,Mediocre experience overall. Issue with website navigation.,Neutral,chat,2025-04-29,2025-04-29 13:00:35,mediocre experience overall issue with website navigation,mediocre experience overall issue website navigation
F116,CUST6484,Horrible experience. Will never buy from here again. \{ Issue with return process.,Negative,review_site,2025-10-22,2025-10-22 13:00:35,horrible experience will never buy from here again issue with return process,horrible experience never buy issue return process
F120,CUST1279,Overpriced for the features provided. Not worth it. Issue with pricing.,Negative,email,2025-05-16,2025-05-16 13:00:35,overpriced for the features provided not worth it issue with pricing,overpriced feature provided worth issue pricing
F121,CUST1327,Horrible experience. Will never buy from here again. >$$#~,Negative,chat,2025-05-31,2025-05-31 13:00:35,horrible experience will never buy from here again,horrible experience never buy
F122,CUST4422,Mediocre experience overall. Issue with product features.,Neutral,chat,2025-01-21,2025-01-21 13:00:35,mediocre experience overall issue with product features,mediocre experience overall issue product feature
F125,CUST2230,This is exactly what I was looking for. Great quality! Issue with product quality.,Positive,social_media,2025-06-02,2025-06-02 13:00:35,this is exactly what i was looking for great quality issue with product quality,exactly looking great quality issue product quality
F128,CUST5266,"Difficult to use and confusing interface. '[,~",Negative,review_site,2025-06-16,2025-06-16 13:00:35,difficult to use and confusing interface,difficult use confusing interface
F130,CUST1879,Reliable and durable product. No complaints whatsoever. Issue with customer service.,Positive,chat,2025-01-14,2025-01-14 13:00:35,reliable and durable product no complaints whatsoever issue with customer service,reliable durable product complaint whatsoever issue customer service
F132,CUST7892,Product stopped working within a week. Poor quality. ]*,Negative,email,2025-01-17,2025-01-17 13:00:35,product stopped working within a week poor quality,product stopped working within week poor quality
F134,CUST7933,Horrible experience. Will never buy from here again. Issue with product availability.,Negative,chat,2025-04-04,2025-04-04 13:00:35,horrible experience will never buy from here again issue with product availability,horrible experience never buy issue product availability
F135,CUST2045,Average experience. Some good points and some bad. Issue with pricing.,Neutral,review_site,2025-01-11,2025-01-11 13:00:35,average experience some good points and some bad issue with pricing,average experience good point bad issue pricing
F136,CUST7217,Standard quality. Meets basic expectations. Issue with customer service.,Neutral,review_site,2024-11-27,2024-11-27 13:00:35,standard quality meets basic expectations issue with customer service,standard quality meet basic expectation issue customer service
F137,CUST8150,Overpriced for the features provided. Not worth it. !,Negative,review_site,2025-01-30,2025-01-30 13:00:35,overpriced for the features provided not worth it,overpriced feature provided worth
F138,CUST3670,Average experience. Some good points and some bad. Issue with product quality.,Neutral,email,2024-12-31,2024-12-31 13:00:35,average experience some good points and some bad issue with product quality,average experience good point bad issue product quality
F140,CUST9337,Overpriced for the features provided. Not worth it. Issue with delivery delays.,Negative,review_site,2025-02-01,2025-02-01 13:00:35,overpriced for the features provided not worth it issue with delivery delays,overpriced feature provided worth issue delivery delay
F142,CUST9778,Reliable and durable product. No complaints whatsoever. Issue with product availability.,Positive,chat,2024-12-16,2024-12-16 13:00:35,reliable and durable product no complaints whatsoever issue with product availability,reliable durable product complaint whatsoever issue product availability
F148,CUST6563,Average experience. Some good points and some bad. Issue with product features.,Neutral,chat,2025-07-08,2025-07-08 13:00:35,average experience some good points and some bad issue with product features,average experience good point bad issue product feature
F149,CUST9813,Product is okay. Nothing special but does the job. Issue with delivery delays.,Neutral,social_media,2025-03-30,2025-03-30 13:00:35,product is okay nothing special but does the job issue with delivery delays,product okay nothing special job issue delivery delay
F151,CUST9555,Product is okay. Nothing special but does the job. Issue with pricing.,Neutral,social_media,2025-07-03,2025-07-03 13:00:35,product is okay nothing special but does the job issue with pricing,product okay nothing special job issue pricing
F153,CUST9089,Average experience. Some good points and some bad. `,Neutral,email,2024-11-22,2024-11-22 13:00:35,average experience some good points and some bad,average experience good point bad
F154,CUST8257,User-friendly interface and intuitive design.,Positive,social_media,2025-09-13,2025-09-13 13:00:35,userfriendly interface and intuitive design,userfriendly interface intuitive design
F156,CUST7192,"It's fine, not great but not terrible either. ^('| Issue with product availability.",Neutral,review_site,2025-02-11,2025-02-11 13:00:35,its fine not great but not terrible either issue with product availability,fine great terrible either issue product availability
F160,CUST2523,Reliable and durable product. No complaints whatsoever. Issue with return process.,Positive,review_site,2024-12-18,2024-12-18 13:00:35,reliable and durable product no complaints whatsoever issue with return process,reliable durable product complaint whatsoever issue return process
F161,CUST1289,Terrible experience. Product broke after one day. ?',Negative,chat,2025-07-27,2025-07-27 13:00:35,terrible experience product broke after one day,terrible experience product broke one day
F162,CUST8012,User-friendly interface and intuitive design. Issue with delivery delays.,Positive,email,2025-09-26,2025-09-26 13:00:35,userfriendly interface and intuitive design issue with delivery delays,userfriendly interface intuitive design issue delivery delay
F165,CUST3104,Terrible experience. Product broke after one day.,Negative,social_media,2025-01-10,2025-01-10 13:00:35,terrible experience product broke after one day,terrible experience product broke one day
F166,CUST7617,Fantastic experience overall. Will definitely buy again! Issue with product availability.,Positive,social_media,2025-03-11,2025-03-11 13:00:35,fantastic experience overall will definitely buy again issue with product availability,fantastic experience overall definitely buy issue product availability
F168,CUST1782,Difficult to use and confusing interface. _|$!,Negative,chat,2025-04-19,2025-04-19 13:00:35,difficult to use and confusing interface,difficult use confusing interface
F169,CUST1090,Standard quality. Meets basic expectations. Issue with product features.,Neutral,social_media,2025-04-04,2025-04-04 13:00:35,standard quality meets basic expectations issue with product features,standard quality meet basic expectation issue product feature
F170,CUST7488,Acceptable product for the price point. &'%> Issue with return process.,Neutral,email,2025-08-09,2025-08-09 13:00:35,acceptable product for the price point issue with return process,acceptable product price point issue return process
F171,CUST2678,"Product stopped working within a week. Poor quality. %""",Negative,chat,2025-07-11,2025-07-11 13:00:35,product stopped working within a week poor quality,product stopped working within week poor quality
F174,CUST7908,Product stopped working within a week. Poor quality. Issue with product quality.,Negative,chat,2025-06-30,2025-06-30 13:00:35,product stopped working within a week poor quality issue with product quality,product stopped working within week poor quality issue product quality
F175,CUST8389,Average experience. Some good points and some bad. ?[@@,Neutral,review_site,2025-01-14,2025-01-14 13:00:35,average experience some good points and some bad,average experience good point bad
F178,CUST3949,Frequent crashes and bugs. Needs improvement. Issue with product quality.,Negative,chat,2025-10-15,2025-10-15 13:00:35,frequent crashes and bugs needs improvement issue with product quality,frequent crash bug need improvement issue product quality
F180,CUST1392,Acceptable product for the price point. Issue with delivery delays.,Neutral,social_media,2025-03-21,2025-03-21 13:00:35,acceptable product for the price point issue with delivery delays,acceptable product price point issue delivery delay
F184,CUST7931,Product is okay. Nothing special but does the job. / Issue with product features.,Neutral,email,2025-09-27,2025-09-27 13:00:35,product is okay nothing special but does the job issue with product features,product okay nothing special job issue product feature
F185,CUST6640,Fantastic experience overall. Will definitely buy again! Issue with pricing.,Positive,social_media,2025-02-19,2025-02-19 13:00:35,fantastic experience overall will definitely buy again issue with pricing,fantastic experience overall definitely buy issue pricing
F188,CUST1377,Poor customer service. No one responded to my queries. :_|)| Issue with technical issues.,Negative,social_media,2025-05-12,2025-05-12 13:00:35,poor customer service no one responded to my queries issue with technical issues,poor customer service one responded query issue technical issue
F189,CUST3348,Satisfactory service. Nothing to complain about. ? Issue with return process.,Neutral,email,2025-07-19,2025-07-19 13:00:35,satisfactory service nothing to complain about issue with return process,satisfactory service nothing complain issue return process
F190,CUST9715,Functional but could be better. Issue with customer service.,Neutral,chat,2025-01-24,2025-01-24 13:00:35,functional but could be better issue with customer service,functional could better issue customer service
F191,CUST5653,I absolutely love this product! It's amazing and works perfectly. Issue with product quality.,Positive,email,2025-10-11,2025-10-11 13:00:35,i absolutely love this product its amazing and works perfectly issue with product quality,absolutely love product amazing work perfectly issue product quality
F192,CUST1458,Waste of money. Product doesn't work as advertised. Issue with technical issues.,Negative,social_media,2025-05-07,2025-05-07 13:00:35,waste of money product doesnt work as advertised issue with technical issues,waste money product doesnt work advertised issue technical issue
F194,CUST4610,Standard quality. Meets basic expectations. Issue with return process.,Neutral,chat,2025-09-13,2025-09-13 13:00:35,standard quality meets basic expectations issue with return process,standard quality meet basic expectation issue return process
F195,CUST9822,Overpriced for the features provided. Not worth it. Issue with product quality.,Negative,chat,2025-01-16,2025-01-16 13:00:35,overpriced for the features provided not worth it issue with product quality,overpriced feature provided worth issue product quality
F197,CUST9946,Frequent crashes and bugs. Needs improvement. ;;{<,Negative,social_media,2025-08-24,2025-08-24 13:00:35,frequent crashes and bugs needs improvement,frequent crash bug need improvement
F198,CUST8745,Acceptable product for the price point. Issue with website navigation.,Neutral,review_site,2024-11-29,2024-11-29 13:00:35,acceptable product for the price point issue with website navigation,acceptable product price point issue website navigation
F199,CUST4718,Functional but could be better. }_,Neutral,email,2025-10-05,2025-10-05 13:00:35,functional but could be better,functional could better
F201,CUST4184,"It's fine, not great but not terrible either. ![",Neutral,email,2025-02-25,2025-02-25 13:00:35,its fine not great but not terrible either,fine great terrible either
F202,CUST4291,Horrible experience. Will never buy from here again.,Negative,review_site,2025-04-08,2025-04-08 13:00:35,horrible experience will never buy from here again,horrible experience never buy
F206,CUST3839,Late delivery and damaged packaging. Very upset! Issue with delivery delays.,Negative,chat,2025-05-29,2025-05-29 13:00:35,late delivery and damaged packaging very upset issue with delivery delays,late delivery damaged packaging upset issue delivery delay
F208,CUST8899,"Satisfactory service. Nothing to complain about. ,[&*` Issue with delivery delays.",Neutral,email,2025-02-13,2025-02-13 13:00:35,satisfactory service nothing to complain about issue with delivery delays,satisfactory service nothing complain issue delivery delay
F212,CUST8570,Impressive features and functionality. Love it! Issue with delivery delays.,Positive,review_site,2025-07-19,2025-07-19 13:00:35,impressive features and functionality love it issue with delivery delays,impressive feature functionality love issue delivery delay
F213,CUST3488,Great value for money. Worth every penny! Issue with website navigation.,Positive,review_site,2024-11-23,2024-11-23 13:00:35,great value for money worth every penny issue with website navigation,great value money worth every penny issue website navigation
F215,CUST1517,I absolutely love this product! It's amazing and works perfectly. ~ Issue with return process.,Positive,chat,2024-12-18,2024-12-18 13:00:35,i absolutely love this product its amazing and works perfectly issue with return process,absolutely love product amazing work perfectly issue return process
F216,CUST5864,Satisfactory service. Nothing to complain about. Issue with product availability.,Neutral,chat,2025-04-06,2025-04-06 13:00:35,satisfactory service nothing to complain about issue with product availability,satisfactory service nothing complain issue product availability
F217,CUST7227,Extremely disappointed with the quality. Not recommended. >{},Negative,chat,2024-12-25,2024-12-25 13:00:35,extremely disappointed with the quality not recommended,extremely disappointed quality recommended
F218,CUST2782,Horrible experience. Will never buy from here again. Issue with product quality.,Negative,social_media,2025-01-19,2025-01-19 13:00:35,horrible experience will never buy from here again issue with product quality,horrible experience never buy issue product quality
F219,CUST2825,Acceptable product for the price point. Issue with product features.,Neutral,social_media,2024-12-31,2024-12-31 13:00:35,acceptable product for the price point issue with product features,acceptable product price point issue product feature
F220,CUST3782,Overpriced for the features provided. Not worth it. _`!?? Issue with product features.,Negative,social_media,2025-10-27,2025-10-27 13:00:35,overpriced for the features provided not worth it issue with product features,overpriced feature provided worth issue product feature
F221,CUST1804,I absolutely love this product! It's amazing and works perfectly. \. Issue with product features.,Positive,review_site,2025-05-08,2025-05-08 13:00:35,i absolutely love this product its amazing and works perfectly issue with product features,absolutely love product amazing work perfectly issue product feature
F223,CUST5762,Functional but could be better. {$#,Neutral,social_media,2025-10-03,2025-10-03 13:00:35,functional but could be better,functional could better
F224,CUST5209,Product is okay. Nothing special but does the job. Issue with product features.,Neutral,review_site,2025-01-19,2025-01-19 13:00:35,product is okay nothing special but does the job issue with product features,product okay nothing special job issue product feature
F225,CUST1136,The product exceeded my expectations. Very satisfied! .*,Positive,review_site,2025-01-23,2025-01-23 13:00:35,the product exceeded my expectations very satisfied,product exceeded expectation satisfied
F226,CUST1986,"Fantastic experience overall. Will definitely buy again! ?""`",Positive,review_site,2025-05-14,2025-05-14 13:00:35,fantastic experience overall will definitely buy again,fantastic experience overall definitely buy
F227,CUST6278,Functional but could be better.,Neutral,review_site,2025-05-02,2025-05-02 13:00:35,functional but could be better,functional could better
